id;start_date;end_date;language
1;2023-12-06T13:32:48;2023-12-06T08:08:49;SPANISH
2;2023-12-07T01:12:16;2023-12-06T23:20:33;FRENCH
3;2023-12-06T15:48:46;2023-12-06T15:55:09;SPANISH
4;2023-12-07T00:30:13;2023-12-06T07:02:50;SPANISH
5;2023-12-06T04:27:12;2023-12-06T23:38:06;SPANISH
6;2023-12-06T20:21:10;2023-12-06T23:15:32;FRENCH
7;2023-12-06T19:58:54;2023-12-06T20:05:01;SPANISH
8;2023-12-06T04:10:12;2023-12-06T14:48:52;ENGLISH
9;2023-12-06T20:51:58;2023-12-07T00:54:36;SPANISH
10;2023-12-07T02:22:48;2023-12-06T21:45:25;FRENCH
