id;status;level;trainer;active_from;activeto
1;tough plus;not slowly;hemorrhage unacceptable careen;2023-12-06T18:36:18;2023-12-06T07:23:28
2;soon saddle weighty;exorcize upgrade;torn woot;2023-12-06T20:31:29;2023-12-06T19:37:07
3;parlay reappear;both;arctic great;2023-12-06T18:44:09;2023-12-06T20:53:45
4;mini-skirt;ack;consequently abaft evangelise;2023-12-06T12:00:27;2023-12-06T14:04:27
5;unhealthy baseball fibre;helplessly under;bold rosin lower;2023-12-07T03:26:24;2023-12-06T09:56:58
6;but behind crush;untried really;unfurl below core;2023-12-06T18:38:48;2023-12-06T11:59:54
7;around crossly pish;briskly;aha closed barbecue;2023-12-06T08:29:48;2023-12-06T18:51:40
8;gosh staid gentle;acidly;weak;2023-12-06T22:14:11;2023-12-06T10:49:17
9;boo;oh;leafy ick admire;2023-12-06T23:20:30;2023-12-06T11:58:49
10;meager purple;accidentally incidentally uh-huh;gadzooks;2023-12-07T02:01:56;2023-12-06T07:21:10
