id;key;shift_start;shift_end;type
1;22367;2023-12-06T21:09:38;2023-12-06T22:17:24;robust
2;11188;2023-12-06T08:18:51;2023-12-06T04:38:17;create block
3;17205;2023-12-07T02:37:48;2023-12-06T13:06:29;because duh
4;5643;2023-12-07T02:38:57;2023-12-06T05:01:35;gosh toga meh
5;10780;2023-12-06T12:42:56;2023-12-06T16:54:06;helplessly owlishly
6;18735;2023-12-06T04:29:51;2023-12-07T01:16:24;arbitrate about
7;31704;2023-12-06T23:33:59;2023-12-07T02:37:33;snow
8;2647;2023-12-06T18:45:02;2023-12-06T04:42:02;lest suspiciously
9;28508;2023-12-06T14:30:17;2023-12-06T20:34:15;ew purple
10;6532;2023-12-06T16:27:15;2023-12-06T09:25:26;united near
