id;key;shift_start;shift_end;type
1;17831;2023-12-07T01:06:12;2023-12-06T21:26:50;whoa scow beautifully
2;13811;2023-12-06T10:36:48;2023-12-06T21:16:53;er
3;3894;2023-12-07T01:04:44;2023-12-07T01:29:51;whose hence terrific
4;6917;2023-12-06T08:16:11;2023-12-07T01:48:29;notwithstanding absent
5;14914;2023-12-06T23:44:20;2023-12-07T02:59:31;jubilantly virtuous interest
6;28386;2023-12-06T12:18:59;2023-12-06T13:34:42;that wholly
7;332;2023-12-06T23:28:16;2023-12-06T23:24:03;cheep
8;24376;2023-12-07T02:33:03;2023-12-06T17:01:11;for
9;32542;2023-12-06T04:24:36;2023-12-06T16:03:04;glum accost
10;2672;2023-12-06T22:35:08;2023-12-06T20:16:07;supposing
